vid,category,resolution,width,height,pixfmt,framrate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,40110,49.701165,98.490310,10
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,23524,45.821776,98.107917,15
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,12955,42.089305,97.112583,20
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,7254,38.768577,93.494766,25
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,4559,35.817382,86.253188,30
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,3682,33.199978,74.745806,35
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,2999,30.719033,57.451940,40
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,1811,27.826239,38.768805,45
Animation_1080P-05f8,Animation,1080,1920,1080,yuv420p,25.0,622090,361,24.980061,18.063758,50
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,28351,50.171707,99.534926,10
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,21863,45.661668,99.512951,15
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,16224,41.157384,99.470184,20
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,11422,36.586232,99.382830,25
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,7577,32.224571,99.128826,30
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,4627,28.077360,98.601217,35
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,2508,24.032068,89.583958,40
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,1135,20.489127,73.603725,45
Animation_1080P-3d67,Animation,1080,1920,1080,yuv420p,4.0,99534,477,17.893409,59.835635,50
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,28317,52.456713,96.380803,10
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,16357,48.389629,95.061929,15
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,6167,44.234473,92.702068,20
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,2151,40.774215,88.252223,25
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,827,37.794694,81.727691,30
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,384,34.989314,70.395833,35
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,109,32.848901,49.857924,40
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,52,31.837913,34.237912,45
Animation_1080P-646f,Animation,1080,1920,1080,yuv420p,29.97002997,745763,34,30.503531,21.062358,50
TelevisionClip_1080P-3d83,TelevisionClip,1080,1920,1080,yuv420p,16.632,413864,28086,55.282991,99.845151,10
